nom,flowminder__inflow_202604__static.matrix,flowminder__inflow__static.matrix,flowminder__outflow_202604__static.matrix,flowminder__outflow__static.matrix,flowminder_short_trips__ituri_subscriber_days_followup_20260608,flowminder_short_trips__ituri_subscriber_days_followup_20260608__static,flowminder_short_trips__ituri_subscriber_days_followup_20260608__static.matrix,flowminder_short_trips__ituri_subscriber_days_prior_20260503,flowminder_short_trips__ituri_subscriber_days_prior_20260503__static,flowminder_short_trips__ituri_subscriber_days_prior_20260503__static.matrix,flowminder_short_trips__nk_subscriber_days_followup_20260608,flowminder_short_trips__nk_subscriber_days_followup_20260608__static,flowminder_short_trips__nk_subscriber_days_followup_20260608__static.matrix,flowminder_short_trips__nk_subscriber_days_prior_20260503,flowminder_short_trips__nk_subscriber_days_prior_20260503__static,flowminder_short_trips__nk_subscriber_days_prior_20260503__static.matrix,flowminder_short_trips__outflow_20260430,flowminder_short_trips__outflow_20260430__static,flowminder_short_trips__outflow_20260430__static.matrix,flowminder_short_trips__outflow_20260507,flowminder_short_trips__outflow_20260507__static,flowminder_short_trips__outflow_20260507__static.matrix,flowminder_short_trips__outflow_20260514,flowminder_short_trips__outflow_20260514__static,flowminder_short_trips__outflow_20260514__static.matrix,flowminder_short_trips__outflow_20260521,flowminder_short_trips__outflow_20260521__static,flowminder_short_trips__outflow_20260521__static.matrix,flowminder_short_trips__outflow_20260524,flowminder_short_trips__outflow_20260524__static,flowminder_short_trips__outflow_20260524__static.matrix
Tshikula,0.0,0.0,0.0,0.0,1.52e-06,1.52e-06,,1.52e-06,1.52e-06,,0.0,0.0,,5.625e-06,5.625e-06,,,,,,,,,,,,,,,,
Tshilenge,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Tshishimbi,0.0,0.0,0.0,0.0,7.092e-06,7.092e-06,,7.599e-06,7.599e-06,,4.688e-06,4.688e-06,,5.625e-06,5.625e-06,,,,,,,,,,,,,,,,
Tshopo,,0.0,,0.0,0.003512,0.003512,,0.004872,0.004872,,0.004857,0.004857,,0.005777,0.005777,,0.05,0.05,,0.07,0.07,,0.09,0.09,,0.11,0.11,,0.12,0.12,
Tshudi Loto,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tshumbe,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Tunda,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,1.406e-05,1.406e-05,,,,,,,,,,,,,,,,
Ubundu,0.0,0.0,0.0,0.0,7.092e-06,7.092e-06,,9.118e-06,9.118e-06,,0.0001589,0.0001589,,3.797e-05,3.797e-05,,,,,,,,,,,,,,,,
Uvira,0.0,0.0,0.0,0.0,0.0003545,0.0003545,,0.000571,0.000571,,0.001294,0.001294,,0.001589,0.001589,,0.0,0.0,,0.01,0.01,,0.01,0.01,,0.01,0.01,,0.01,0.01,
Vaku,0.0,0.0,0.0,0.0,1.292e-05,1.292e-05,,1.52e-06,1.52e-06,,3.516e-05,3.516e-05,,0.0,0.0,,,,,,,,,,,,,,,,
Vanga,0.0,0.0,0.0,0.0,4.559e-06,4.559e-06,,1.52e-06,1.52e-06,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Vanga Kete,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Viadana,,0.0,0.0,0.0,2.584e-05,2.584e-05,,2.381e-05,2.381e-05,,0.0001501,0.0001501,,0.0002391,0.0002391,,,,,,,,,,,,,,,,
Walikale,0.0,0.0,0.0,0.0,0.0008132,0.0008132,,0.0005889,0.0005889,,0.007987,0.007987,,0.0109,0.0109,,0.01,0.01,,0.01,0.01,,0.02,0.02,,0.02,0.02,,0.02,0.02,
Walungu,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wamba,,0.0,,0.0,0.00397,0.00397,,0.004505,0.004505,,0.02751,0.02751,,0.03079,0.03079,,0.05,0.05,,0.08,0.08,,0.1,0.1,,0.13,0.13,,0.14,0.14,
Wamba Lwadi,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Wangata,,0.0,0.0,0.0,7.538e-05,7.538e-05,,7.041e-05,7.041e-05,,8.719e-05,8.719e-05,,0.000115,0.000115,,,,,,,,,,,,,,,,
Wanierukula,0.0,0.0,0.0,0.0,0.002077,0.002077,,0.001864,0.001864,,0.003321,0.003321,,0.002691,0.002691,,0.05,0.05,,0.09,0.09,,0.12,0.12,,0.15,0.15,,0.16,0.16,
Wapinda,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,9.001e-05,9.001e-05,,0.0001041,0.0001041,,,,,,,,,,,,,,,,
Wasolo,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watsa,173,185.0,158,185.0,0.02598,0.02598,,0.02525,0.02525,,0.04705,0.04705,,0.04648,0.04648,,0.27,0.27,,0.4,0.4,,0.49,0.49,,0.62,0.62,,0.67,0.67,
Wema,0.0,0.0,0.0,0.0,1.52e-06,1.52e-06,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Wembo Nyama,0.0,0.0,0.0,0.0,0.0,0.0,,1.52e-06,1.52e-06,,2.813e-06,2.813e-06,,0.0,0.0,,,,,,,,,,,,,,,,
Wikong,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Yabaondo,0.0,0.0,0.0,0.0,1.482e-05,1.482e-05,,6.079e-06,6.079e-06,,2.813e-06,2.813e-06,,4.5e-05,4.5e-05,,,,,,,,,,,,,,,,
Yahisuli,0.0,0.0,0.0,0.0,5.015e-05,5.015e-05,,4.559e-06,4.559e-06,,0.0001688,0.0001688,,7.102e-05,7.102e-05,,,,,,,,,,,,,,,,
Yahuma,0.0,0.0,0.0,0.0,5.015e-05,5.015e-05,,1.672e-05,1.672e-05,,4.711e-05,4.711e-05,,0.0001266,0.0001266,,,,,,,,,,,,,,,,
Yakoma,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,1.688e-05,1.688e-05,,0.0001941,0.0001941,,,,,,,,,,,,,,,,
Yakusu,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yaleko,0.0,0.0,0.0,0.0,4.559e-06,4.559e-06,,9.118e-06,9.118e-06,,2.813e-06,2.813e-06,,6.188e-05,6.188e-05,,,,,,,,,,,,,,,,
Yalimbongo,0.0,0.0,0.0,0.0,4.559e-05,4.559e-05,,9.118e-06,9.118e-06,,9.844e-05,9.844e-05,,8.438e-06,8.438e-06,,,,,,,,,,,,,,,,
Yamaluka,,0.0,,0.0,0.0003575,0.0003575,,0.0003666,0.0003666,,0.0008998,0.0008998,,0.0007346,0.0007346,,0.0,0.0,,0.01,0.01,,0.01,0.01,,0.01,0.01,,0.01,0.01,
Yambuku,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.813e-06,2.813e-06,,0.0,0.0,,,,,,,,,,,,,,,,
Yasa Bonga,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Yumbi,0.0,0.0,0.0,0.0,1.216e-05,1.216e-05,,8.358e-06,8.358e-06,,1.406e-05,1.406e-05,,6.73e-06,6.73e-06,,,,,,,,,,,,,,,,
Zongo,0.0,0.0,0.0,0.0,0.0,0.0,,7.599e-06,7.599e-06,,0.0,0.0,,1.125e-05,1.125e-05,,,,,,,,,,,,,,,,
nom,Aba,Aba,Aba,Aba,,ituri_subscriber_days_followup_20260608,Lita,,ituri_subscriber_days_prior_20260503,Lita,,nk_subscriber_days_followup_20260608,Musienene,,nk_subscriber_days_prior_20260503,Musienene,,outflow_20260430,Lita,,outflow_20260507,Lita,,outflow_20260514,Lita,,outflow_20260521,Lita,,outflow_20260524,Lita
