nom,flowminder__inflow_202604__static.matrix,flowminder__inflow__static.matrix,flowminder__outflow_202604__static.matrix,flowminder__outflow__static.matrix,flowminder_short_trips__ituri_subscriber_days_followup_20260608,flowminder_short_trips__ituri_subscriber_days_followup_20260608__static,flowminder_short_trips__ituri_subscriber_days_followup_20260608__static.matrix,flowminder_short_trips__ituri_subscriber_days_prior_20260503,flowminder_short_trips__ituri_subscriber_days_prior_20260503__static,flowminder_short_trips__ituri_subscriber_days_prior_20260503__static.matrix,flowminder_short_trips__nk_subscriber_days_followup_20260608,flowminder_short_trips__nk_subscriber_days_followup_20260608__static,flowminder_short_trips__nk_subscriber_days_followup_20260608__static.matrix,flowminder_short_trips__nk_subscriber_days_prior_20260503,flowminder_short_trips__nk_subscriber_days_prior_20260503__static,flowminder_short_trips__nk_subscriber_days_prior_20260503__static.matrix,flowminder_short_trips__outflow_20260430,flowminder_short_trips__outflow_20260430__static,flowminder_short_trips__outflow_20260430__static.matrix,flowminder_short_trips__outflow_20260507,flowminder_short_trips__outflow_20260507__static,flowminder_short_trips__outflow_20260507__static.matrix,flowminder_short_trips__outflow_20260514,flowminder_short_trips__outflow_20260514__static,flowminder_short_trips__outflow_20260514__static.matrix,flowminder_short_trips__outflow_20260521,flowminder_short_trips__outflow_20260521__static,flowminder_short_trips__outflow_20260521__static.matrix,flowminder_short_trips__outflow_20260524,flowminder_short_trips__outflow_20260524__static,flowminder_short_trips__outflow_20260524__static.matrix
Musienene,,0.0,,0.0,0.01308,0.01308,,0.01207,0.01207,,1.644,1.644,,1.698,1.698,,0.14,0.14,,0.27,0.27,,0.34,0.34,,0.42,0.42,,0.45,0.45,
Mutena,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Mutshatsha,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Mutwanga,,0.0,,0.0,0.004053,0.004053,,0.003998,0.003998,,0.1647,0.1647,,0.1749,0.1749,,0.04,0.04,,0.08,0.08,,0.11,0.11,,0.14,0.14,,0.15,0.15,
Muya,0.0,0.0,0.0,0.0,1.52e-06,1.52e-06,,1.368e-05,1.368e-05,,2.813e-06,2.813e-06,,2.813e-06,2.813e-06,,,,,,,,,,,,,,,,
Mwana,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mweka,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.531e-05,2.531e-05,,0.0,0.0,,,,,,,,,,,,,,,,
Mwela Lembwa,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Mweneditu,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,6.403e-05,6.403e-05,,3.375e-05,3.375e-05,,,,,,,,,,,,,,,,
Mwenga,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mweso,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndage,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Ndekesha,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ndesha,0.0,0.0,0.0,0.0,1.52e-06,1.52e-06,,1.672e-05,1.672e-05,,0.0,0.0,,2.813e-06,2.813e-06,,,,,,,,,,,,,,,,
Ndjili,,0.0,,0.0,0.0004458,0.0004458,,0.0006482,0.0006482,,0.0003783,0.0003783,,0.0005007,0.0005007,,0.01,0.01,,0.02,0.02,,0.03,0.03,,0.04,0.04,,0.04,0.04,
Ndjoko Mpunda,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ngaba,,0.0,0.0,0.0,0.0001246,0.0001246,,0.0002903,0.0002903,,0.0001013,0.0001013,,0.0001786,0.0001786,,0.0,0.0,,0.01,0.01,,0.01,0.01,,0.01,0.01,,0.01,0.01,
Ngidinga,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
Ngiri Ngiri,,0.0,,0.0,0.0004377,0.0004377,,0.0006867,0.0006867,,0.000488,0.000488,,0.0006947,0.0006947,,0.01,0.01,,0.02,0.02,,0.03,0.03,,0.04,0.04,,0.04,0.04,
Nia Nia,,0.0,,0.0,0.0156,0.0156,,0.01625,0.01625,,0.06208,0.06208,,0.06735,0.06735,,0.15,0.15,,0.25,0.25,,0.31,0.31,,0.37,0.37,,0.42,0.42,
Niangara,,0.0,,0.0,0.0004533,0.0004533,,0.0008385,0.0008385,,0.0005239,0.0005239,,0.0009071,0.0009071,,0.01,0.01,,0.01,0.01,,0.01,0.01,,0.01,0.01,,0.02,0.02,
Nioki,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,2.813e-06,2.813e-06,,0.0,0.0,,,,,,,,,,,,,,,,
Nizi,,0.0,,0.0,0.932,0.932,,0.9881,0.9881,,0.004008,0.004008,,0.004992,0.004992,,9.97,9.97,,12.62,12.62,,14.45,14.45,,15.83,15.83,,16.33,16.33,
Nsele,,0.0,,0.0,0.001843,0.001843,,0.002713,0.002713,,0.001575,0.001575,,0.002269,0.002269,,0.04,0.04,,0.08,0.08,,0.1,0.1,,0.13,0.13,,0.13,0.13,
Nselo,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,
