health_zone,date,value
Mabalako,01/07/2026,0
Musienene,01/07/2026,2
Miti Murhesa,01/07/2026,1
NA,01/07/2026,0
Bunia,02/07/2026,106
Rwampara,02/07/2026,67
Mongbwalu,02/07/2026,136
Nyankunde,02/07/2026,16
Nizi,02/07/2026,19
Lita,02/07/2026,12
Komanda,02/07/2026,5
Bambu,02/07/2026,5
Kilo,02/07/2026,1
Mangala,02/07/2026,12
Tchomia,02/07/2026,2
Damas,02/07/2026,0
Aungba,02/07/2026,2
Rimba,02/07/2026,0
Aru,02/07/2026,1
Mambasa,02/07/2026,1
Logo,02/07/2026,0
Drodro,02/07/2026,3
Gety,02/07/2026,0
Kambala,02/07/2026,2
Nia Nia,02/07/2026,5
Fataki,02/07/2026,0
Mandima,02/07/2026,1
Lolwa,02/07/2026,1
Butembo,02/07/2026,16
Katwa,02/07/2026,35
Beni,02/07/2026,16
Oicha,02/07/2026,2
Kalunguta,02/07/2026,1
Kyondo,02/07/2026,2
Goma,02/07/2026,0
Masereka,02/07/2026,0
Vuhovi,02/07/2026,1
Mabalako,02/07/2026,0
Musienene,02/07/2026,2
Miti Murhesa,02/07/2026,1
NA,02/07/2026,0
Bunia,03/07/2026,112
Rwampara,03/07/2026,69
Mongbwalu,03/07/2026,139
Nyankunde,03/07/2026,17
Nizi,03/07/2026,19
Lita,03/07/2026,12
Komanda,03/07/2026,5
Bambu,03/07/2026,5
Kilo,03/07/2026,1
Mangala,03/07/2026,14
Tchomia,03/07/2026,2
Damas,03/07/2026,0
Aungba,03/07/2026,2
Rimba,03/07/2026,0
Aru,03/07/2026,1
Mambasa,03/07/2026,1
Logo,03/07/2026,0
Drodro,03/07/2026,3
Gety,03/07/2026,0
Kambala,03/07/2026,2
Nia Nia,03/07/2026,5
Fataki,03/07/2026,0
Mandima,03/07/2026,1
Lolwa,03/07/2026,1
Butembo,03/07/2026,18
Katwa,03/07/2026,37
Beni,03/07/2026,17
Oicha,03/07/2026,2
Kalunguta,03/07/2026,1
Kyondo,03/07/2026,2
Goma,03/07/2026,0
Masereka,03/07/2026,0
Vuhovi,03/07/2026,1
Mabalako,03/07/2026,0
Musienene,03/07/2026,2
Miti Murhesa,03/07/2026,1
NA,03/07/2026,0
Bunia,04/07/2026,118
Rwampara,04/07/2026,71
Mongbwalu,04/07/2026,141
Nyankunde,04/07/2026,17
Nizi,04/07/2026,19
Lita,04/07/2026,12
Komanda,04/07/2026,8
Bambu,04/07/2026,5
Kilo,04/07/2026,1
Mangala,04/07/2026,14
Tchomia,04/07/2026,2
Damas,04/07/2026,0
Aungba,04/07/2026,2
Rimba,04/07/2026,0
Aru,04/07/2026,1
Mambasa,04/07/2026,1
Logo,04/07/2026,0
Drodro,04/07/2026,3
Gety,04/07/2026,0
Kambala,04/07/2026,2
Nia Nia,04/07/2026,5
Fataki,04/07/2026,0
Mandima,04/07/2026,1
Lolwa,04/07/2026,1
Butembo,04/07/2026,18
Katwa,04/07/2026,38
Beni,04/07/2026,17
Oicha,04/07/2026,2
Kalunguta,04/07/2026,1
Kyondo,04/07/2026,2
Goma,04/07/2026,0
Masereka,04/07/2026,0
Vuhovi,04/07/2026,1
Mabalako,04/07/2026,0
Musienene,04/07/2026,2
Miti Murhesa,04/07/2026,1
NA,04/07/2026,0
Bunia,05/07/2026,121
Rwampara,05/07/2026,72
Mongbwalu,05/07/2026,149
Nyankunde,05/07/2026,19
Nizi,05/07/2026,19
Lita,05/07/2026,12
Komanda,05/07/2026,8
Bambu,05/07/2026,6
Kilo,05/07/2026,1
Mangala,05/07/2026,14
Tchomia,05/07/2026,2
Damas,05/07/2026,0
Aungba,05/07/2026,2
Rimba,05/07/2026,0
Aru,05/07/2026,1
Mambasa,05/07/2026,1
Logo,05/07/2026,0
Drodro,05/07/2026,3
Gety,05/07/2026,0
Kambala,05/07/2026,2
Nia Nia,05/07/2026,5
Fataki,05/07/2026,0
Mandima,05/07/2026,1
Lolwa,05/07/2026,1
Butembo,05/07/2026,18
Katwa,05/07/2026,38
Beni,05/07/2026,17
Oicha,05/07/2026,2
Kalunguta,05/07/2026,1
Kyondo,05/07/2026,2
Goma,05/07/2026,0
Masereka,05/07/2026,0
Vuhovi,05/07/2026,1
Mabalako,05/07/2026,0
Musienene,05/07/2026,2
Miti Murhesa,05/07/2026,1
NA,05/07/2026,0
Bunia,06/07/2026,134
Rwampara,06/07/2026,75
Mongbwalu,06/07/2026,154
Nyankunde,06/07/2026,20
Nizi,06/07/2026,24
Lita,06/07/2026,16
Komanda,06/07/2026,8
Bambu,06/07/2026,9
Kilo,06/07/2026,1
Mangala,06/07/2026,20
Tchomia,06/07/2026,2
Damas,06/07/2026,0
Aungba,06/07/2026,2
Rimba,06/07/2026,0
Aru,06/07/2026,1
Mambasa,06/07/2026,3
Logo,06/07/2026,0
Drodro,06/07/2026,3
Gety,06/07/2026,0
Kambala,06/07/2026,2
Nia Nia,06/07/2026,12
Fataki,06/07/2026,1
Mandima,06/07/2026,2
Lolwa,06/07/2026,1
Boga,06/07/2026,1
Butembo,06/07/2026,20
Katwa,06/07/2026,41
Beni,06/07/2026,19
Oicha,06/07/2026,2
Kalunguta,06/07/2026,1
Kyondo,06/07/2026,2
Goma,06/07/2026,0
Masereka,06/07/2026,0
Vuhovi,06/07/2026,1
Mabalako,06/07/2026,0
Musienene,06/07/2026,2
Miti Murhesa,06/07/2026,1
NA,06/07/2026,0
Bunia,07/07/2026,137
Rwampara,07/07/2026,76
Mongbwalu,07/07/2026,165
Nyankunde,07/07/2026,20
Nizi,07/07/2026,28
Lita,07/07/2026,16
Komanda,07/07/2026,8
Bambu,07/07/2026,9
Kilo,07/07/2026,1
Mangala,07/07/2026,20
Tchomia,07/07/2026,2
Damas,07/07/2026,0
Aungba,07/07/2026,2
Rimba,07/07/2026,0
Aru,07/07/2026,1
Mambasa,07/07/2026,3
Logo,07/07/2026,0
Drodro,07/07/2026,3
Gety,07/07/2026,0
Kambala,07/07/2026,2
Nia Nia,07/07/2026,13
Fataki,07/07/2026,1
Mandima,07/07/2026,2
Lolwa,07/07/2026,1
Boga,07/07/2026,1
Butembo,07/07/2026,20
Katwa,07/07/2026,41
Beni,07/07/2026,19
Oicha,07/07/2026,2
Kalunguta,07/07/2026,1
Kyondo,07/07/2026,2
Goma,07/07/2026,0
Masereka,07/07/2026,0
Vuhovi,07/07/2026,1
Mabalako,07/07/2026,0
Musienene,07/07/2026,2
Miti Murhesa,07/07/2026,1
NA,07/07/2026,0
Bunia,08/07/2026,141
Rwampara,08/07/2026,80
Mongbwalu,08/07/2026,167
Nyankunde,08/07/2026,22
Nizi,08/07/2026,36
Lita,08/07/2026,16
Komanda,08/07/2026,8
Bambu,08/07/2026,10
Kilo,08/07/2026,1
Mangala,08/07/2026,23
Tchomia,08/07/2026,2
Damas,08/07/2026,0
Aungba,08/07/2026,2
Rimba,08/07/2026,0
Aru,08/07/2026,1
Mambasa,08/07/2026,3
Logo,08/07/2026,0
Drodro,08/07/2026,3
Gety,08/07/2026,0
Kambala,08/07/2026,2
Nia Nia,08/07/2026,13
Fataki,08/07/2026,1
Mandima,08/07/2026,2
Lolwa,08/07/2026,1
Boga,08/07/2026,1
Butembo,08/07/2026,20
Katwa,08/07/2026,41
Beni,08/07/2026,19
Oicha,08/07/2026,2
Kalunguta,08/07/2026,1
Kyondo,08/07/2026,2
Goma,08/07/2026,0
Masereka,08/07/2026,0
Vuhovi,08/07/2026,1
Mabalako,08/07/2026,0
Musienene,08/07/2026,2
Miti Murhesa,08/07/2026,1
NA,08/07/2026,0
Bunia,09/07/2026,149
Rwampara,09/07/2026,83
Mongbwalu,09/07/2026,170
Nyankunde,09/07/2026,22
Nizi,09/07/2026,36
Lita,09/07/2026,17
Komanda,09/07/2026,8
Bambu,09/07/2026,10
Kilo,09/07/2026,1
Mangala,09/07/2026,23
Tchomia,09/07/2026,4
Damas,09/07/2026,0
Aungba,09/07/2026,2
Rimba,09/07/2026,0
Aru,09/07/2026,1
Mambasa,09/07/2026,4
Logo,09/07/2026,0
Drodro,09/07/2026,3
Gety,09/07/2026,0
Kambala,09/07/2026,2
Nia Nia,09/07/2026,13
Fataki,09/07/2026,1
Mandima,09/07/2026,2
Lolwa,09/07/2026,1
Boga,09/07/2026,1
Butembo,09/07/2026,20
Katwa,09/07/2026,45
Beni,09/07/2026,20
Oicha,09/07/2026,2
Kalunguta,09/07/2026,1
Kyondo,09/07/2026,3
Goma,09/07/2026,0
Masereka,09/07/2026,0
Vuhovi,09/07/2026,1
Mabalako,09/07/2026,0
Musienene,09/07/2026,2
Miti Murhesa,09/07/2026,1
NA,09/07/2026,0
Bunia,10/07/2026,156
Rwampara,10/07/2026,89
Mongbwalu,10/07/2026,171
Nyankunde,10/07/2026,23
Nizi,10/07/2026,36
Lita,10/07/2026,19
Komanda,10/07/2026,8
Bambu,10/07/2026,10
Kilo,10/07/2026,1
Mangala,10/07/2026,29
Tchomia,10/07/2026,4
Damas,10/07/2026,0
Aungba,10/07/2026,2
Rimba,10/07/2026,0
Aru,10/07/2026,1
Mambasa,10/07/2026,4
Logo,10/07/2026,0
Drodro,10/07/2026,3
Gety,10/07/2026,0
Kambala,10/07/2026,2
Nia Nia,10/07/2026,13
Fataki,10/07/2026,1
Mandima,10/07/2026,3
Lolwa,10/07/2026,1
Boga,10/07/2026,1
Butembo,10/07/2026,20
Katwa,10/07/2026,45
Beni,10/07/2026,20
Oicha,10/07/2026,2
Kalunguta,10/07/2026,1
Kyondo,10/07/2026,3
Goma,10/07/2026,0
Masereka,10/07/2026,0
Vuhovi,10/07/2026,1
Mabalako,10/07/2026,0
Musienene,10/07/2026,2
Miti Murhesa,10/07/2026,1
Wamba,10/07/2026,1
Makiso Kisangani,10/07/2026,2
Mangobo,10/07/2026,0
Lubunga (Tshopo),10/07/2026,0
NA,10/07/2026,0
Bunia,11/07/2026,160
Rwampara,11/07/2026,90
Mongbwalu,11/07/2026,177
Nyankunde,11/07/2026,25
Nizi,11/07/2026,47
Lita,11/07/2026,19
Komanda,11/07/2026,8
Bambu,11/07/2026,10
Kilo,11/07/2026,1
Mangala,11/07/2026,29
Tchomia,11/07/2026,4
Damas,11/07/2026,0
Aungba,11/07/2026,2
Rumba,11/07/2026,0
Aru,11/07/2026,1
Mambasa,11/07/2026,4
Logo,11/07/2026,0
Drodro,11/07/2026,3
Gety,11/07/2026,0
Kambala,11/07/2026,2
Nia-Nia,11/07/2026,12
Fataki,11/07/2026,1
Mandima,11/07/2026,3
Lolwa,11/07/2026,1
Boga,11/07/2026,1
Ariwara,11/07/2026,1
Butembo,11/07/2026,21
Katwa,11/07/2026,47
Beni,11/07/2026,20
Oicha,11/07/2026,2
Kalunguta,11/07/2026,1
Kyondo,11/07/2026,3
Goma,11/07/2026,0
Masereka,11/07/2026,0
Vuhovi,11/07/2026,1
Mabalako,11/07/2026,0
Musienene,11/07/2026,2
Miti-Murhesa,11/07/2026,1
Wamba,11/07/2026,1
Makiso Kisangani,11/07/2026,2
Mangobo,11/07/2026,0
Lubunga (Tshopo),11/07/2026,0
NA,11/07/2026,0
